destination,region,date,platform,sentiment,score,aspect,language,reviewer_type
Ronda,Andalucía,2024-07-05,TripAdvisor,Positivo,3.6,Alojamiento,es,Familia
Ronda,Andalucía,2024-07-05,TripAdvisor,Positivo,4.0,Masificación,es,Familia
Picos de Europa,Asturias/Cantabria,2024-07-06,Booking.com,Positivo,4.6,Transporte,fr,Pareja
Costa Brava,Cataluña,2024-07-06,TripAdvisor,Negativo,1.1,Atractivos,en,Amigos
Teruel,Aragón,2024-07-06,Booking.com,Negativo,2.3,Precio,es,Familia
Mallorca,Islas Baleares,2024-07-07,TripAdvisor,Positivo,3.9,Transporte,es,Pareja
Costa del Sol,Andalucía,2024-07-08,Booking.com,Negativo,1.6,Gastronomía,en,Familia
Mallorca,Islas Baleares,2024-07-08,TripAdvisor,Negativo,1.6,Transporte,es,Familia
Picos de Europa,Asturias/Cantabria,2024-07-09,Google Reviews,Positivo,3.8,Masificación,it,Pareja
Sevilla,Andalucía,2024-07-09,Booking.com,Positivo,4.6,Precio,es,Amigos
Mallorca,Islas Baleares,2024-07-09,TripAdvisor,Negativo,2.0,Gastronomía,es,Pareja
Sevilla,Andalucía,2024-07-09,Google Reviews,Neutro,3.2,Gastronomía,es,Pareja
Mallorca,Islas Baleares,2024-07-10,TripAdvisor,Negativo,1.2,Gastronomía,en,Amigos
Extremadura,Extremadura,2024-07-10,Booking.com,Positivo,3.9,Alojamiento,es,Amigos
San Sebastián,País Vasco,2024-07-10,Booking.com,Positivo,4.2,Transporte,de,Amigos
Barcelona,Cataluña,2024-07-10,Google Reviews,Negativo,1.4,Atractivos,fr,Pareja
Sevilla,Andalucía,2024-07-11,Google Reviews,Positivo,4.0,Limpieza,en,Amigos
Mallorca,Islas Baleares,2024-07-11,Google Reviews,Negativo,1.4,Transporte,en,Pareja
Teruel,Aragón,2024-07-12,Google Reviews,Positivo,3.5,Limpieza,en,Negocios
Costa Brava,Cataluña,2024-07-12,TripAdvisor,Positivo,4.0,Masificación,es,Pareja
Teruel,Aragón,2024-07-12,Airbnb,Positivo,4.6,Alojamiento,fr,Amigos
Sevilla,Andalucía,2024-07-12,Booking.com,Negativo,1.2,Gastronomía,es,Familia
Madrid,Madrid,2024-07-13,Google Reviews,Negativo,1.2,Limpieza,it,Pareja
Picos de Europa,Asturias/Cantabria,2024-07-14,Airbnb,Positivo,3.8,Transporte,es,Familia
Picos de Europa,Asturias/Cantabria,2024-07-14,TripAdvisor,Neutro,3.1,Atractivos,fr,Pareja
Valencia,Comunidad Valenciana,2024-07-14,Airbnb,Neutro,3.5,Limpieza,en,Pareja
Mallorca,Islas Baleares,2024-07-14,Google Reviews,Neutro,3.1,Atractivos,de,Familia
Tenerife,Islas Canarias,2024-07-14,Booking.com,Negativo,1.9,Transporte,en,Pareja
Costa del Sol,Andalucía,2024-07-15,Airbnb,Positivo,4.4,Transporte,de,Familia
Barcelona,Cataluña,2024-07-15,Airbnb,Negativo,1.8,Limpieza,es,Familia
Valencia,Comunidad Valenciana,2024-07-15,Google Reviews,Negativo,1.7,Limpieza,de,Amigos
Valencia,Comunidad Valenciana,2024-07-17,Booking.com,Positivo,3.9,Transporte,de,Familia
Costa Brava,Cataluña,2024-07-17,Google Reviews,Neutro,2.9,Alojamiento,es,Amigos
Extremadura,Extremadura,2024-07-18,TripAdvisor,Positivo,4.5,Transporte,fr,Familia
San Sebastián,País Vasco,2024-07-18,Google Reviews,Positivo,4.5,Atractivos,en,Amigos
Mallorca,Islas Baleares,2024-07-18,Booking.com,Negativo,1.3,Alojamiento,es,Solo
Barcelona,Cataluña,2024-07-19,Google Reviews,Positivo,4.2,Precio,fr,Familia
Tenerife,Islas Canarias,2024-07-20,Airbnb,Negativo,1.6,Gastronomía,de,Amigos
Valencia,Comunidad Valenciana,2024-07-20,Google Reviews,Negativo,1.2,Masificación,es,Familia
Valencia,Comunidad Valenciana,2024-07-20,Airbnb,Negativo,2.1,Limpieza,en,Pareja
Granada,Andalucía,2024-07-20,Airbnb,Neutro,3.3,Precio,fr,Pareja
Tenerife,Islas Canarias,2024-07-20,Google Reviews,Positivo,3.6,Precio,de,Negocios
Tenerife,Islas Canarias,2024-07-21,Airbnb,Negativo,1.9,Atractivos,es,Solo
Barcelona,Cataluña,2024-07-21,Google Reviews,Negativo,1.5,Transporte,es,Familia
Picos de Europa,Asturias/Cantabria,2024-07-21,Airbnb,Positivo,4.8,Gastronomía,it,Pareja
Ronda,Andalucía,2024-07-22,TripAdvisor,Positivo,3.6,Atractivos,de,Amigos
Granada,Andalucía,2024-07-23,Booking.com,Neutro,3.5,Transporte,de,Familia
Valencia,Comunidad Valenciana,2024-07-23,Airbnb,Positivo,3.9,Masificación,de,Pareja
Costa Brava,Cataluña,2024-07-23,Google Reviews,Negativo,2.4,Transporte,de,Pareja
Mallorca,Islas Baleares,2024-07-24,Google Reviews,Positivo,4.8,Transporte,es,Solo
Valencia,Comunidad Valenciana,2024-07-24,Airbnb,Neutro,3.4,Transporte,es,Familia
Valencia,Comunidad Valenciana,2024-07-25,TripAdvisor,Negativo,1.0,Atractivos,de,Amigos
Picos de Europa,Asturias/Cantabria,2024-07-25,Google Reviews,Positivo,4.8,Precio,de,Pareja
Ronda,Andalucía,2024-07-25,Google Reviews,Neutro,3.3,Masificación,es,Pareja
Picos de Europa,Asturias/Cantabria,2024-07-25,TripAdvisor,Positivo,4.6,Atractivos,de,Amigos
Granada,Andalucía,2024-07-25,Booking.com,Neutro,2.7,Atractivos,de,Familia
Mallorca,Islas Baleares,2024-07-26,Google Reviews,Negativo,1.3,Gastronomía,fr,Familia
Barcelona,Cataluña,2024-07-28,Booking.com,Negativo,1.6,Gastronomía,en,Pareja
Tenerife,Islas Canarias,2024-07-28,TripAdvisor,Positivo,4.9,Limpieza,es,Familia
Extremadura,Extremadura,2024-07-29,Airbnb,Positivo,4.9,Alojamiento,es,Familia
Valencia,Comunidad Valenciana,2024-07-29,Airbnb,Positivo,4.4,Precio,es,Familia
Granada,Andalucía,2024-07-29,Booking.com,Positivo,4.6,Limpieza,de,Pareja
Picos de Europa,Asturias/Cantabria,2024-07-29,Booking.com,Negativo,2.0,Masificación,es,Pareja
Costa del Sol,Andalucía,2024-07-29,TripAdvisor,Negativo,2.3,Limpieza,es,Pareja
Mallorca,Islas Baleares,2024-07-29,TripAdvisor,Negativo,2.2,Transporte,en,Familia
Ronda,Andalucía,2024-07-30,Airbnb,Positivo,3.6,Alojamiento,fr,Familia
Barcelona,Cataluña,2024-07-30,Airbnb,Positivo,3.8,Atractivos,de,Pareja
Extremadura,Extremadura,2024-07-30,Booking.com,Positivo,4.5,Alojamiento,en,Familia
Granada,Andalucía,2024-07-31,Google Reviews,Positivo,3.7,Masificación,de,Pareja
Teruel,Aragón,2024-08-01,Google Reviews,Positivo,5.0,Atractivos,en,Pareja
Teruel,Aragón,2024-08-01,Google Reviews,Negativo,1.9,Transporte,de,Familia
Costa Brava,Cataluña,2024-08-01,TripAdvisor,Negativo,2.0,Gastronomía,fr,Familia
Madrid,Madrid,2024-08-02,Google Reviews,Positivo,4.0,Atractivos,fr,Familia
Picos de Europa,Asturias/Cantabria,2024-08-02,Airbnb,Positivo,4.3,Alojamiento,en,Pareja
Teruel,Aragón,2024-08-03,TripAdvisor,Positivo,4.0,Precio,de,Amigos
Tenerife,Islas Canarias,2024-08-03,TripAdvisor,Negativo,2.3,Limpieza,fr,Familia
Valencia,Comunidad Valenciana,2024-08-03,TripAdvisor,Positivo,4.7,Alojamiento,en,Solo
Teruel,Aragón,2024-08-04,Airbnb,Positivo,3.8,Alojamiento,en,Solo
Picos de Europa,Asturias/Cantabria,2024-08-04,Airbnb,Neutro,2.5,Transporte,es,Pareja
Madrid,Madrid,2024-08-04,Google Reviews,Neutro,2.8,Alojamiento,de,Pareja
Teruel,Aragón,2024-08-05,TripAdvisor,Positivo,4.5,Limpieza,it,Solo
Mallorca,Islas Baleares,2024-08-05,Booking.com,Positivo,4.9,Gastronomía,fr,Pareja
Costa del Sol,Andalucía,2024-08-06,Google Reviews,Neutro,3.0,Alojamiento,fr,Solo
Extremadura,Extremadura,2024-08-06,Booking.com,Positivo,4.4,Gastronomía,en,Pareja
Granada,Andalucía,2024-08-06,TripAdvisor,Negativo,1.2,Alojamiento,en,Pareja
Ronda,Andalucía,2024-08-06,TripAdvisor,Positivo,4.7,Atractivos,en,Amigos
Costa Brava,Cataluña,2024-08-07,Google Reviews,Positivo,3.7,Masificación,es,Pareja
Barcelona,Cataluña,2024-08-08,Google Reviews,Negativo,1.9,Limpieza,de,Negocios
Sevilla,Andalucía,2024-08-08,Google Reviews,Negativo,1.5,Limpieza,fr,Amigos
Madrid,Madrid,2024-08-08,Airbnb,Negativo,2.3,Masificación,es,Amigos
Granada,Andalucía,2024-08-08,Booking.com,Positivo,4.1,Precio,en,Pareja
Extremadura,Extremadura,2024-08-08,Airbnb,Positivo,3.6,Transporte,es,Amigos
Ronda,Andalucía,2024-08-09,Booking.com,Positivo,3.6,Limpieza,fr,Pareja
Tenerife,Islas Canarias,2024-08-10,Booking.com,Negativo,2.2,Atractivos,fr,Amigos
Ronda,Andalucía,2024-08-10,Booking.com,Positivo,4.0,Atractivos,en,Familia
Picos de Europa,Asturias/Cantabria,2024-08-11,TripAdvisor,Positivo,4.3,Limpieza,en,Familia
Mallorca,Islas Baleares,2024-08-11,Google Reviews,Negativo,2.3,Transporte,es,Pareja
Sevilla,Andalucía,2024-08-12,Airbnb,Positivo,3.8,Gastronomía,es,Familia
Picos de Europa,Asturias/Cantabria,2024-08-12,Airbnb,Positivo,3.5,Alojamiento,fr,Familia
Extremadura,Extremadura,2024-08-12,Airbnb,Negativo,1.9,Alojamiento,it,Familia
Sevilla,Andalucía,2024-08-12,Booking.com,Neutro,3.4,Transporte,es,Pareja
San Sebastián,País Vasco,2024-08-12,TripAdvisor,Positivo,3.5,Alojamiento,es,Amigos
Teruel,Aragón,2024-08-12,Airbnb,Negativo,2.4,Transporte,es,Solo
Barcelona,Cataluña,2024-08-12,Booking.com,Positivo,4.2,Transporte,es,Amigos
Teruel,Aragón,2024-08-12,TripAdvisor,Neutro,3.1,Masificación,en,Pareja
Valencia,Comunidad Valenciana,2024-08-13,TripAdvisor,Neutro,3.4,Precio,en,Familia
Ronda,Andalucía,2024-08-13,Google Reviews,Positivo,4.9,Alojamiento,de,Amigos
Valencia,Comunidad Valenciana,2024-08-13,Booking.com,Positivo,4.0,Precio,es,Pareja
Sevilla,Andalucía,2024-08-14,Airbnb,Neutro,3.1,Transporte,de,Familia
Barcelona,Cataluña,2024-08-14,Booking.com,Negativo,1.8,Precio,es,Pareja
Ronda,Andalucía,2024-08-14,Booking.com,Neutro,3.2,Masificación,de,Familia
Teruel,Aragón,2024-08-14,Airbnb,Neutro,3.2,Alojamiento,es,Negocios
Sevilla,Andalucía,2024-08-14,Google Reviews,Negativo,1.7,Masificación,fr,Pareja
Mallorca,Islas Baleares,2024-08-15,TripAdvisor,Negativo,2.0,Atractivos,en,Amigos
Madrid,Madrid,2024-08-15,Airbnb,Negativo,2.4,Gastronomía,en,Familia
Granada,Andalucía,2024-08-15,TripAdvisor,Negativo,1.3,Alojamiento,en,Familia
Teruel,Aragón,2024-08-16,Airbnb,Positivo,4.8,Transporte,en,Solo
Picos de Europa,Asturias/Cantabria,2024-08-16,TripAdvisor,Positivo,4.3,Precio,it,Familia
Mallorca,Islas Baleares,2024-08-16,TripAdvisor,Negativo,2.4,Limpieza,fr,Pareja
Valencia,Comunidad Valenciana,2024-08-17,Airbnb,Negativo,1.3,Precio,de,Pareja
Mallorca,Islas Baleares,2024-08-17,Airbnb,Negativo,1.7,Gastronomía,it,Solo
Costa Brava,Cataluña,2024-08-17,Booking.com,Positivo,4.1,Gastronomía,de,Amigos
San Sebastián,País Vasco,2024-08-17,Airbnb,Negativo,2.4,Limpieza,fr,Negocios
San Sebastián,País Vasco,2024-08-17,TripAdvisor,Negativo,2.0,Precio,de,Amigos
Barcelona,Cataluña,2024-08-18,Google Reviews,Positivo,4.1,Gastronomía,en,Amigos
Sevilla,Andalucía,2024-08-19,Booking.com,Neutro,3.1,Atractivos,de,Pareja
Picos de Europa,Asturias/Cantabria,2024-08-20,Google Reviews,Negativo,1.1,Alojamiento,en,Pareja
Costa del Sol,Andalucía,2024-08-20,Booking.com,Positivo,3.9,Precio,es,Familia
Ronda,Andalucía,2024-08-20,Google Reviews,Positivo,4.6,Limpieza,es,Amigos
Costa del Sol,Andalucía,2024-08-20,Booking.com,Negativo,1.8,Atractivos,es,Pareja
Sevilla,Andalucía,2024-08-21,Google Reviews,Positivo,5.0,Masificación,it,Amigos
Barcelona,Cataluña,2024-08-21,Airbnb,Positivo,4.6,Precio,fr,Pareja
Costa del Sol,Andalucía,2024-08-21,Airbnb,Positivo,4.9,Masificación,en,Familia
Costa Brava,Cataluña,2024-08-21,Booking.com,Negativo,1.6,Transporte,it,Pareja
Extremadura,Extremadura,2024-08-21,TripAdvisor,Positivo,4.1,Precio,de,Pareja
Costa del Sol,Andalucía,2024-08-22,Booking.com,Negativo,1.7,Gastronomía,it,Pareja
Mallorca,Islas Baleares,2024-08-22,Booking.com,Neutro,2.9,Masificación,de,Amigos
Costa del Sol,Andalucía,2024-08-22,Airbnb,Neutro,2.7,Transporte,es,Familia
Barcelona,Cataluña,2024-08-24,Booking.com,Positivo,4.4,Limpieza,it,Amigos
Sevilla,Andalucía,2024-08-24,TripAdvisor,Positivo,4.5,Precio,de,Familia
San Sebastián,País Vasco,2024-08-25,Airbnb,Neutro,3.3,Atractivos,it,Negocios
Valencia,Comunidad Valenciana,2024-08-25,Airbnb,Negativo,1.7,Gastronomía,en,Solo
Extremadura,Extremadura,2024-08-25,Airbnb,Neutro,3.4,Precio,en,Familia
Picos de Europa,Asturias/Cantabria,2024-08-26,TripAdvisor,Positivo,4.5,Masificación,en,Pareja
Ronda,Andalucía,2024-08-26,Airbnb,Positivo,4.8,Transporte,es,Amigos
Picos de Europa,Asturias/Cantabria,2024-08-27,Google Reviews,Positivo,4.0,Masificación,de,Solo
Costa Brava,Cataluña,2024-08-29,Airbnb,Negativo,2.2,Precio,es,Amigos
Madrid,Madrid,2024-08-29,Booking.com,Negativo,1.2,Atractivos,it,Pareja
San Sebastián,País Vasco,2024-08-29,TripAdvisor,Positivo,3.6,Precio,de,Pareja
Valencia,Comunidad Valenciana,2024-08-29,Booking.com,Positivo,3.8,Limpieza,es,Amigos
San Sebastián,País Vasco,2024-08-29,Google Reviews,Positivo,3.6,Precio,de,Solo
San Sebastián,País Vasco,2024-08-29,Airbnb,Positivo,4.9,Masificación,en,Amigos
Sevilla,Andalucía,2024-08-30,Google Reviews,Negativo,1.3,Alojamiento,it,Pareja
Sevilla,Andalucía,2024-08-30,TripAdvisor,Positivo,3.7,Limpieza,en,Negocios
Valencia,Comunidad Valenciana,2024-08-31,TripAdvisor,Positivo,4.8,Masificación,it,Pareja
Sevilla,Andalucía,2024-08-31,Airbnb,Positivo,4.9,Masificación,en,Amigos
Barcelona,Cataluña,2024-08-31,Booking.com,Neutro,3.3,Precio,it,Solo
San Sebastián,País Vasco,2024-08-31,Google Reviews,Positivo,4.1,Atractivos,en,Pareja
Costa Brava,Cataluña,2024-08-31,TripAdvisor,Neutro,3.1,Transporte,fr,Pareja
Ronda,Andalucía,2024-08-31,TripAdvisor,Positivo,3.9,Masificación,de,Pareja
Teruel,Aragón,2024-09-01,Booking.com,Neutro,3.3,Masificación,es,Amigos
Tenerife,Islas Canarias,2024-09-03,Airbnb,Positivo,4.1,Masificación,en,Pareja
Picos de Europa,Asturias/Cantabria,2024-09-03,Google Reviews,Neutro,3.3,Gastronomía,es,Solo
San Sebastián,País Vasco,2024-09-03,Google Reviews,Positivo,5.0,Precio,es,Pareja
Valencia,Comunidad Valenciana,2024-09-03,Google Reviews,Negativo,2.4,Masificación,en,Amigos
Granada,Andalucía,2024-09-04,Airbnb,Positivo,4.1,Atractivos,es,Familia
Mallorca,Islas Baleares,2024-09-04,TripAdvisor,Negativo,1.1,Atractivos,es,Pareja
Extremadura,Extremadura,2024-09-04,Airbnb,Positivo,4.7,Masificación,en,Familia
Madrid,Madrid,2024-09-04,Airbnb,Negativo,2.3,Gastronomía,fr,Familia
Madrid,Madrid,2024-09-05,Google Reviews,Negativo,1.1,Atractivos,es,Negocios
Teruel,Aragón,2024-09-05,Google Reviews,Neutro,3.4,Precio,en,Familia
Mallorca,Islas Baleares,2024-09-05,Airbnb,Positivo,4.0,Precio,es,Amigos
Madrid,Madrid,2024-09-05,Google Reviews,Neutro,3.2,Gastronomía,fr,Pareja
Picos de Europa,Asturias/Cantabria,2024-09-05,Google Reviews,Positivo,4.1,Atractivos,es,Pareja
Madrid,Madrid,2024-09-06,TripAdvisor,Positivo,3.6,Alojamiento,de,Amigos
Tenerife,Islas Canarias,2024-09-06,Google Reviews,Neutro,3.3,Limpieza,es,Familia
Tenerife,Islas Canarias,2024-09-06,Google Reviews,Neutro,2.7,Atractivos,es,Amigos
Valencia,Comunidad Valenciana,2024-09-07,Booking.com,Positivo,4.8,Limpieza,fr,Negocios
Tenerife,Islas Canarias,2024-09-07,Airbnb,Neutro,3.4,Precio,it,Amigos
Teruel,Aragón,2024-09-07,Google Reviews,Positivo,4.4,Transporte,es,Pareja
Costa del Sol,Andalucía,2024-09-07,Booking.com,Positivo,4.2,Limpieza,de,Familia
Costa del Sol,Andalucía,2024-09-07,Booking.com,Positivo,4.1,Limpieza,es,Pareja
Teruel,Aragón,2024-09-08,TripAdvisor,Positivo,3.7,Masificación,fr,Pareja
Mallorca,Islas Baleares,2024-09-09,TripAdvisor,Negativo,1.8,Precio,es,Pareja
Valencia,Comunidad Valenciana,2024-09-09,Booking.com,Positivo,4.1,Masificación,es,Amigos
San Sebastián,País Vasco,2024-09-10,Google Reviews,Negativo,1.2,Masificación,de,Pareja
Costa del Sol,Andalucía,2024-09-10,Airbnb,Positivo,4.7,Masificación,de,Amigos
Costa Brava,Cataluña,2024-09-10,Google Reviews,Negativo,2.4,Atractivos,de,Pareja
Ronda,Andalucía,2024-09-11,Google Reviews,Positivo,4.0,Limpieza,en,Familia
Picos de Europa,Asturias/Cantabria,2024-09-11,Google Reviews,Positivo,4.9,Limpieza,es,Familia
Barcelona,Cataluña,2024-09-11,Google Reviews,Negativo,1.0,Alojamiento,it,Solo
Costa Brava,Cataluña,2024-09-11,Google Reviews,Positivo,3.8,Transporte,en,Pareja
Barcelona,Cataluña,2024-09-12,Google Reviews,Negativo,1.5,Alojamiento,fr,Pareja
Picos de Europa,Asturias/Cantabria,2024-09-12,Airbnb,Positivo,4.4,Gastronomía,es,Familia
Barcelona,Cataluña,2024-09-12,Booking.com,Negativo,2.0,Atractivos,en,Solo
San Sebastián,País Vasco,2024-09-12,Booking.com,Positivo,3.9,Alojamiento,de,Pareja
Mallorca,Islas Baleares,2024-09-13,Google Reviews,Neutro,3.0,Gastronomía,es,Solo
Costa Brava,Cataluña,2024-09-13,TripAdvisor,Negativo,1.8,Alojamiento,de,Amigos
Barcelona,Cataluña,2024-09-14,Airbnb,Positivo,3.5,Precio,it,Solo
Picos de Europa,Asturias/Cantabria,2024-09-14,Airbnb,Positivo,4.0,Masificación,es,Familia
Costa del Sol,Andalucía,2024-09-14,Airbnb,Positivo,4.4,Limpieza,de,Familia
Barcelona,Cataluña,2024-09-14,TripAdvisor,Negativo,1.3,Masificación,es,Pareja
Mallorca,Islas Baleares,2024-09-16,Google Reviews,Negativo,2.2,Transporte,en,Amigos
Granada,Andalucía,2024-09-16,Airbnb,Neutro,2.8,Masificación,fr,Pareja
Barcelona,Cataluña,2024-09-16,TripAdvisor,Negativo,2.4,Transporte,en,Familia
San Sebastián,País Vasco,2024-09-16,Booking.com,Positivo,4.9,Masificación,fr,Pareja
Teruel,Aragón,2024-09-16,Booking.com,Negativo,1.5,Atractivos,es,Pareja
Mallorca,Islas Baleares,2024-09-16,TripAdvisor,Negativo,2.0,Limpieza,fr,Familia
Valencia,Comunidad Valenciana,2024-09-17,Booking.com,Positivo,3.7,Transporte,en,Solo
Costa del Sol,Andalucía,2024-09-17,TripAdvisor,Negativo,1.7,Alojamiento,en,Amigos
Teruel,Aragón,2024-09-17,TripAdvisor,Neutro,3.2,Masificación,es,Solo
Granada,Andalucía,2024-09-17,Booking.com,Negativo,1.7,Transporte,de,Negocios
Costa Brava,Cataluña,2024-09-17,Google Reviews,Negativo,1.9,Gastronomía,es,Familia
Barcelona,Cataluña,2024-09-18,Booking.com,Neutro,3.1,Precio,es,Amigos
Teruel,Aragón,2024-09-18,Airbnb,Positivo,4.8,Atractivos,en,Familia
Granada,Andalucía,2024-09-18,Google Reviews,Neutro,2.8,Masificación,es,Familia
Valencia,Comunidad Valenciana,2024-09-19,TripAdvisor,Positivo,4.4,Transporte,en,Pareja
Costa Brava,Cataluña,2024-09-20,Airbnb,Negativo,1.4,Atractivos,es,Pareja
Sevilla,Andalucía,2024-09-20,Google Reviews,Neutro,3.4,Precio,it,Familia
Costa del Sol,Andalucía,2024-09-21,Airbnb,Positivo,3.8,Gastronomía,en,Familia
Costa del Sol,Andalucía,2024-09-21,Google Reviews,Negativo,1.9,Limpieza,en,Pareja
Tenerife,Islas Canarias,2024-09-21,Airbnb,Negativo,2.5,Precio,en,Solo
Granada,Andalucía,2024-09-22,Google Reviews,Positivo,3.7,Masificación,es,Amigos
Sevilla,Andalucía,2024-09-22,Google Reviews,Neutro,2.9,Gastronomía,it,Solo
Costa Brava,Cataluña,2024-09-22,Booking.com,Neutro,2.6,Precio,es,Negocios
Tenerife,Islas Canarias,2024-09-22,Booking.com,Negativo,2.5,Gastronomía,fr,Familia
Mallorca,Islas Baleares,2024-09-23,TripAdvisor,Positivo,4.9,Precio,en,Amigos
Picos de Europa,Asturias/Cantabria,2024-09-24,Booking.com,Positivo,4.0,Masificación,it,Pareja
Extremadura,Extremadura,2024-09-24,TripAdvisor,Positivo,3.9,Limpieza,it,Familia
Costa del Sol,Andalucía,2024-09-24,Booking.com,Negativo,2.0,Masificación,en,Pareja
Costa del Sol,Andalucía,2024-09-25,Airbnb,Neutro,2.6,Atractivos,es,Familia
Mallorca,Islas Baleares,2024-09-25,Airbnb,Negativo,2.2,Atractivos,es,Pareja
Teruel,Aragón,2024-09-26,TripAdvisor,Positivo,3.9,Masificación,es,Amigos
Valencia,Comunidad Valenciana,2024-09-26,TripAdvisor,Positivo,4.5,Gastronomía,en,Familia
Ronda,Andalucía,2024-09-26,Airbnb,Positivo,3.8,Alojamiento,it,Familia
Sevilla,Andalucía,2024-09-26,TripAdvisor,Positivo,5.0,Transporte,de,Pareja
Picos de Europa,Asturias/Cantabria,2024-09-26,Airbnb,Negativo,2.4,Transporte,de,Familia
Granada,Andalucía,2024-09-26,Google Reviews,Negativo,1.4,Gastronomía,es,Solo
Madrid,Madrid,2024-09-26,TripAdvisor,Neutro,2.8,Gastronomía,en,Solo
Barcelona,Cataluña,2024-09-26,Booking.com,Neutro,3.0,Atractivos,en,Familia
Madrid,Madrid,2024-09-27,Google Reviews,Neutro,3.1,Masificación,de,Familia
San Sebastián,País Vasco,2024-09-27,Booking.com,Positivo,3.8,Transporte,en,Pareja
Extremadura,Extremadura,2024-09-28,Google Reviews,Positivo,3.8,Limpieza,it,Solo
Teruel,Aragón,2024-09-29,Booking.com,Positivo,4.2,Masificación,en,Pareja
Costa Brava,Cataluña,2024-09-29,Booking.com,Negativo,1.4,Masificación,en,Amigos
Costa Brava,Cataluña,2024-09-29,TripAdvisor,Positivo,4.5,Gastronomía,en,Pareja
Valencia,Comunidad Valenciana,2024-09-30,Google Reviews,Neutro,3.3,Limpieza,fr,Pareja
Granada,Andalucía,2024-09-30,Booking.com,Negativo,2.0,Precio,en,Solo
Granada,Andalucía,2024-09-30,TripAdvisor,Positivo,3.8,Transporte,en,Amigos
Barcelona,Cataluña,2024-09-30,TripAdvisor,Negativo,2.3,Limpieza,de,Familia
Costa Brava,Cataluña,2024-09-30,Booking.com,Positivo,4.1,Transporte,es,Negocios
Picos de Europa,Asturias/Cantabria,2024-10-01,TripAdvisor,Negativo,2.1,Limpieza,de,Amigos
Granada,Andalucía,2024-10-02,Booking.com,Positivo,4.8,Alojamiento,en,Negocios
Tenerife,Islas Canarias,2024-10-03,Google Reviews,Negativo,2.5,Limpieza,en,Familia
Extremadura,Extremadura,2024-10-03,Google Reviews,Neutro,3.4,Precio,en,Familia
