destination,region,destination_type,year,month,period,season,visitors,congestion_index,hotel_occupancy_pct,avg_daily_spend_eur,sentiment_score,review_volume,esg_score,capacity_index
Sevilla,Andalucía,urban,2024,8,2024-08,peak,16557,70.7,61.6,200.74,3.81,1856,73.3,71
Sevilla,Andalucía,urban,2024,9,2024-09,high,13871,53.4,55.3,175.38,3.59,1708,36.3,71
Sevilla,Andalucía,urban,2024,10,2024-10,shoulder,9093,36.4,35.7,135.51,4.19,1243,49.3,71
Sevilla,Andalucía,urban,2024,11,2024-11,low,4873,19.9,19.8,150.02,3.78,435,59.2,71
Sevilla,Andalucía,urban,2024,12,2024-12,low,4743,21.1,21.9,133.71,3.78,501,65.8,71
Sevilla,Andalucía,urban,2025,1,2025-01,low,5298,18.4,17.8,189.44,4.38,631,58.3,71
Sevilla,Andalucía,urban,2025,2,2025-02,low,4528,21.7,22.2,227.26,3.95,374,33.8,71
Sevilla,Andalucía,urban,2025,3,2025-03,shoulder,9259,33.2,30.7,171.18,3.9,1046,67.9,71
Sevilla,Andalucía,urban,2025,4,2025-04,shoulder,8821,34.8,36.3,184.12,3.64,1143,39.1,71
Sevilla,Andalucía,urban,2025,5,2025-05,shoulder,10133,35.0,35.5,76.17,3.41,1700,67.0,71
Sevilla,Andalucía,urban,2025,6,2025-06,high,13789,62.2,58.1,44.2,3.4,1689,43.8,71
Sevilla,Andalucía,urban,2025,7,2025-07,peak,18175,75.2,64.3,256.88,3.96,2006,62.5,71
Sevilla,Andalucía,urban,2025,8,2025-08,peak,16827,72.6,70.7,171.22,3.5,2470,60.7,71
Sevilla,Andalucía,urban,2025,9,2025-09,high,13455,55.7,51.2,206.45,3.16,1264,45.1,71
Sevilla,Andalucía,urban,2025,10,2025-10,shoulder,10338,37.1,36.4,193.84,3.96,1834,90.5,71
Sevilla,Andalucía,urban,2025,11,2025-11,low,5256,20.4,21.4,147.97,3.97,439,85.7,71
Sevilla,Andalucía,urban,2025,12,2025-12,low,4530,21.9,22.7,160.59,4.17,771,42.5,71
Sevilla,Andalucía,urban,2026,1,2026-01,low,4625,18.4,19.0,154.9,4.57,442,53.1,71
Sevilla,Andalucía,urban,2026,2,2026-02,low,4966,20.5,18.2,211.98,4.17,878,62.5,71
Sevilla,Andalucía,urban,2026,3,2026-03,shoulder,10376,34.1,35.7,102.42,4.3,1564,62.9,71
Sevilla,Andalucía,urban,2026,4,2026-04,shoulder,10329,34.4,35.5,180.42,3.95,1389,75.7,71
Valencia,Comunidad Valenciana,urban,2023,1,2023-01,low,5899,18.9,17.6,90.13,3.67,699,73.0,65
Valencia,Comunidad Valenciana,urban,2023,2,2023-02,low,5052,20.4,17.5,236.78,3.43,874,63.5,65
Valencia,Comunidad Valenciana,urban,2023,3,2023-03,shoulder,9580,39.1,40.9,195.83,4.04,1260,72.2,65
Valencia,Comunidad Valenciana,urban,2023,4,2023-04,shoulder,9193,31.8,32.8,201.23,3.6,914,65.8,65
Valencia,Comunidad Valenciana,urban,2023,5,2023-05,shoulder,10620,32.2,33.5,98.49,3.63,1505,74.4,65
Valencia,Comunidad Valenciana,urban,2023,6,2023-06,high,13521,47.1,47.3,170.96,4.2,2360,55.5,65
Valencia,Comunidad Valenciana,urban,2023,7,2023-07,peak,17316,60.5,54.2,207.13,3.87,2550,65.9,65
Valencia,Comunidad Valenciana,urban,2023,8,2023-08,peak,17253,70.5,67.2,95.42,3.43,1565,57.0,65
Valencia,Comunidad Valenciana,urban,2023,9,2023-09,high,14766,57.1,49.3,139.51,3.3,1887,41.3,65
Valencia,Comunidad Valenciana,urban,2023,10,2023-10,shoulder,9635,36.1,37.1,238.55,3.92,1716,50.9,65
Valencia,Comunidad Valenciana,urban,2023,11,2023-11,low,5029,20.6,20.1,236.31,3.76,795,85.6,65
Valencia,Comunidad Valenciana,urban,2023,12,2023-12,low,5799,18.3,16.9,136.79,3.94,853,63.5,65
Valencia,Comunidad Valenciana,urban,2024,1,2024-01,low,6044,19.0,19.0,104.88,3.29,761,59.3,65
Valencia,Comunidad Valenciana,urban,2024,2,2024-02,low,5216,19.6,17.1,162.3,2.9,883,40.5,65
Valencia,Comunidad Valenciana,urban,2024,3,2024-03,shoulder,9453,32.2,32.2,174.89,3.98,1256,67.3,65
Valencia,Comunidad Valenciana,urban,2024,4,2024-04,shoulder,9505,33.6,30.6,177.81,3.25,900,57.7,65
Valencia,Comunidad Valenciana,urban,2024,5,2024-05,shoulder,10432,36.7,36.7,184.35,3.66,1336,66.5,65
Valencia,Comunidad Valenciana,urban,2024,6,2024-06,high,14808,54.9,51.8,184.69,3.55,1718,64.0,65
Valencia,Comunidad Valenciana,urban,2024,7,2024-07,peak,17577,67.5,63.3,172.77,4.6,1885,68.7,65
Valencia,Comunidad Valenciana,urban,2024,8,2024-08,peak,18154,59.1,57.8,229.27,3.88,3140,34.8,65
Valencia,Comunidad Valenciana,urban,2024,9,2024-09,high,16789,52.2,49.2,150.42,3.71,2868,72.4,65
Valencia,Comunidad Valenciana,urban,2024,10,2024-10,shoulder,9110,34.7,33.3,183.74,4.05,1099,44.0,65
Valencia,Comunidad Valenciana,urban,2024,11,2024-11,low,5094,17.7,18.1,127.45,4.1,839,54.9,65
Valencia,Comunidad Valenciana,urban,2024,12,2024-12,low,5372,18.5,17.0,158.94,3.76,755,48.4,65
Valencia,Comunidad Valenciana,urban,2025,1,2025-01,low,5348,17.4,16.2,143.27,3.17,458,41.5,65
Valencia,Comunidad Valenciana,urban,2025,2,2025-02,low,5867,17.5,18.1,163.07,4.11,945,59.7,65
Valencia,Comunidad Valenciana,urban,2025,3,2025-03,shoulder,10748,37.7,34.0,116.86,3.42,1156,66.8,65
Valencia,Comunidad Valenciana,urban,2025,4,2025-04,shoulder,10141,32.6,33.2,169.1,3.71,1594,42.9,65
Valencia,Comunidad Valenciana,urban,2025,5,2025-05,shoulder,9082,35.5,33.9,223.71,2.91,761,64.6,65
Valencia,Comunidad Valenciana,urban,2025,6,2025-06,high,13515,49.3,43.9,212.5,3.15,1583,52.5,65
Valencia,Comunidad Valenciana,urban,2025,7,2025-07,peak,18650,69.3,64.6,186.85,3.73,2779,61.9,65
Valencia,Comunidad Valenciana,urban,2025,8,2025-08,peak,20647,59.2,55.9,221.13,3.37,3209,40.9,65
Valencia,Comunidad Valenciana,urban,2025,9,2025-09,high,13862,50.2,50.8,159.8,4.0,2212,61.5,65
Valencia,Comunidad Valenciana,urban,2025,10,2025-10,shoulder,9749,32.7,29.2,193.85,3.83,1700,36.7,65
Valencia,Comunidad Valenciana,urban,2025,11,2025-11,low,5486,16.7,14.9,204.29,4.03,789,60.3,65
Valencia,Comunidad Valenciana,urban,2025,12,2025-12,low,6096,20.7,18.9,218.63,4.44,518,48.0,65
Valencia,Comunidad Valenciana,urban,2026,1,2026-01,low,5973,17.2,16.1,89.53,3.91,1038,58.1,65
Valencia,Comunidad Valenciana,urban,2026,2,2026-02,low,5659,20.2,17.7,148.76,4.0,876,40.1,65
Valencia,Comunidad Valenciana,urban,2026,3,2026-03,shoulder,10315,34.9,36.0,138.17,4.27,1232,73.3,65
Valencia,Comunidad Valenciana,urban,2026,4,2026-04,shoulder,10893,36.4,38.0,187.33,3.71,1076,67.0,65
Costa Brava,Cataluña,coastal,2023,1,2023-01,low,5610,12.0,10.4,235.03,3.76,714,60.7,85
Costa Brava,Cataluña,coastal,2023,2,2023-02,low,5479,11.7,12.1,102.0,3.52,648,63.4,85
Costa Brava,Cataluña,coastal,2023,3,2023-03,shoulder,19626,43.7,37.3,143.59,4.2,2862,40.0,85
Costa Brava,Cataluña,coastal,2023,4,2023-04,shoulder,19368,46.3,47.4,208.74,4.29,1656,61.0,85
