destination,region,date,platform,sentiment,score,aspect,language,reviewer_type,year,month,period
Sevilla,Andalucía,2024-07-12,Booking.com,Negativo,1.2,Gastronomía,es,Familia,2024,7,2024-07
Madrid,Madrid,2024-07-13,Google Reviews,Negativo,1.2,Limpieza,it,Pareja,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-14,Airbnb,Positivo,3.8,Transporte,es,Familia,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-14,TripAdvisor,Neutro,3.1,Atractivos,fr,Pareja,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-14,Airbnb,Neutro,3.5,Limpieza,en,Pareja,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-14,Google Reviews,Neutro,3.1,Atractivos,de,Familia,2024,7,2024-07
Tenerife,Islas Canarias,2024-07-14,Booking.com,Negativo,1.9,Transporte,en,Pareja,2024,7,2024-07
Costa del Sol,Andalucía,2024-07-15,Airbnb,Positivo,4.4,Transporte,de,Familia,2024,7,2024-07
Barcelona,Cataluña,2024-07-15,Airbnb,Negativo,1.8,Limpieza,es,Familia,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-15,Google Reviews,Negativo,1.7,Limpieza,de,Amigos,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-17,Booking.com,Positivo,3.9,Transporte,de,Familia,2024,7,2024-07
Costa Brava,Cataluña,2024-07-17,Google Reviews,Neutro,2.9,Alojamiento,es,Amigos,2024,7,2024-07
Extremadura,Extremadura,2024-07-18,TripAdvisor,Positivo,4.5,Transporte,fr,Familia,2024,7,2024-07
San Sebastián,País Vasco,2024-07-18,Google Reviews,Positivo,4.5,Atractivos,en,Amigos,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-18,Booking.com,Negativo,1.3,Alojamiento,es,Solo,2024,7,2024-07
Barcelona,Cataluña,2024-07-19,Google Reviews,Positivo,4.2,Precio,fr,Familia,2024,7,2024-07
Tenerife,Islas Canarias,2024-07-20,Airbnb,Negativo,1.6,Gastronomía,de,Amigos,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-20,Google Reviews,Negativo,1.2,Masificación,es,Familia,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-20,Airbnb,Negativo,2.1,Limpieza,en,Pareja,2024,7,2024-07
Granada,Andalucía,2024-07-20,Airbnb,Neutro,3.3,Precio,fr,Pareja,2024,7,2024-07
Tenerife,Islas Canarias,2024-07-20,Google Reviews,Positivo,3.6,Precio,de,Negocios,2024,7,2024-07
Tenerife,Islas Canarias,2024-07-21,Airbnb,Negativo,1.9,Atractivos,es,Solo,2024,7,2024-07
Barcelona,Cataluña,2024-07-21,Google Reviews,Negativo,1.5,Transporte,es,Familia,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-21,Airbnb,Positivo,4.8,Gastronomía,it,Pareja,2024,7,2024-07
Ronda,Andalucía,2024-07-22,TripAdvisor,Positivo,3.6,Atractivos,de,Amigos,2024,7,2024-07
Granada,Andalucía,2024-07-23,Booking.com,Neutro,3.5,Transporte,de,Familia,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-23,Airbnb,Positivo,3.9,Masificación,de,Pareja,2024,7,2024-07
Costa Brava,Cataluña,2024-07-23,Google Reviews,Negativo,2.4,Transporte,de,Pareja,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-24,Google Reviews,Positivo,4.8,Transporte,es,Solo,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-24,Airbnb,Neutro,3.4,Transporte,es,Familia,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-25,TripAdvisor,Negativo,1.0,Atractivos,de,Amigos,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-25,Google Reviews,Positivo,4.8,Precio,de,Pareja,2024,7,2024-07
Ronda,Andalucía,2024-07-25,Google Reviews,Neutro,3.3,Masificación,es,Pareja,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-25,TripAdvisor,Positivo,4.6,Atractivos,de,Amigos,2024,7,2024-07
Granada,Andalucía,2024-07-25,Booking.com,Neutro,2.7,Atractivos,de,Familia,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-26,Google Reviews,Negativo,1.3,Gastronomía,fr,Familia,2024,7,2024-07
Barcelona,Cataluña,2024-07-28,Booking.com,Negativo,1.6,Gastronomía,en,Pareja,2024,7,2024-07
Tenerife,Islas Canarias,2024-07-28,TripAdvisor,Positivo,4.9,Limpieza,es,Familia,2024,7,2024-07
Extremadura,Extremadura,2024-07-29,Airbnb,Positivo,4.9,Alojamiento,es,Familia,2024,7,2024-07
Valencia,Comunidad Valenciana,2024-07-29,Airbnb,Positivo,4.4,Precio,es,Familia,2024,7,2024-07
Granada,Andalucía,2024-07-29,Booking.com,Positivo,4.6,Limpieza,de,Pareja,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-29,Booking.com,Negativo,2.0,Masificación,es,Pareja,2024,7,2024-07
Costa del Sol,Andalucía,2024-07-29,TripAdvisor,Negativo,2.3,Limpieza,es,Pareja,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-29,TripAdvisor,Negativo,2.2,Transporte,en,Familia,2024,7,2024-07
Ronda,Andalucía,2024-07-30,Airbnb,Positivo,3.6,Alojamiento,fr,Familia,2024,7,2024-07
Barcelona,Cataluña,2024-07-30,Airbnb,Positivo,3.8,Atractivos,de,Pareja,2024,7,2024-07
Extremadura,Extremadura,2024-07-30,Booking.com,Positivo,4.5,Alojamiento,en,Familia,2024,7,2024-07
Granada,Andalucía,2024-07-31,Google Reviews,Positivo,3.7,Masificación,de,Pareja,2024,7,2024-07
Teruel,Aragón,2024-08-01,Google Reviews,Positivo,5.0,Atractivos,en,Pareja,2024,8,2024-08
Teruel,Aragón,2024-08-01,Google Reviews,Negativo,1.9,Transporte,de,Familia,2024,8,2024-08
Costa Brava,Cataluña,2024-08-01,TripAdvisor,Negativo,2.0,Gastronomía,fr,Familia,2024,8,2024-08
Madrid,Madrid,2024-08-02,Google Reviews,Positivo,4.0,Atractivos,fr,Familia,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-02,Airbnb,Positivo,4.3,Alojamiento,en,Pareja,2024,8,2024-08
Teruel,Aragón,2024-08-03,TripAdvisor,Positivo,4.0,Precio,de,Amigos,2024,8,2024-08
Tenerife,Islas Canarias,2024-08-03,TripAdvisor,Negativo,2.3,Limpieza,fr,Familia,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-03,TripAdvisor,Positivo,4.7,Alojamiento,en,Solo,2024,8,2024-08
Teruel,Aragón,2024-08-04,Airbnb,Positivo,3.8,Alojamiento,en,Solo,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-04,Airbnb,Neutro,2.5,Transporte,es,Pareja,2024,8,2024-08
Madrid,Madrid,2024-08-04,Google Reviews,Neutro,2.8,Alojamiento,de,Pareja,2024,8,2024-08
Teruel,Aragón,2024-08-05,TripAdvisor,Positivo,4.5,Limpieza,it,Solo,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-05,Booking.com,Positivo,4.9,Gastronomía,fr,Pareja,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-06,Google Reviews,Neutro,3.0,Alojamiento,fr,Solo,2024,8,2024-08
Extremadura,Extremadura,2024-08-06,Booking.com,Positivo,4.4,Gastronomía,en,Pareja,2024,8,2024-08
Granada,Andalucía,2024-08-06,TripAdvisor,Negativo,1.2,Alojamiento,en,Pareja,2024,8,2024-08
Ronda,Andalucía,2024-08-06,TripAdvisor,Positivo,4.7,Atractivos,en,Amigos,2024,8,2024-08
Costa Brava,Cataluña,2024-08-07,Google Reviews,Positivo,3.7,Masificación,es,Pareja,2024,8,2024-08
Barcelona,Cataluña,2024-08-08,Google Reviews,Negativo,1.9,Limpieza,de,Negocios,2024,8,2024-08
Sevilla,Andalucía,2024-08-08,Google Reviews,Negativo,1.5,Limpieza,fr,Amigos,2024,8,2024-08
Madrid,Madrid,2024-08-08,Airbnb,Negativo,2.3,Masificación,es,Amigos,2024,8,2024-08
Granada,Andalucía,2024-08-08,Booking.com,Positivo,4.1,Precio,en,Pareja,2024,8,2024-08
Extremadura,Extremadura,2024-08-08,Airbnb,Positivo,3.6,Transporte,es,Amigos,2024,8,2024-08
Ronda,Andalucía,2024-08-09,Booking.com,Positivo,3.6,Limpieza,fr,Pareja,2024,8,2024-08
Tenerife,Islas Canarias,2024-08-10,Booking.com,Negativo,2.2,Atractivos,fr,Amigos,2024,8,2024-08
Ronda,Andalucía,2024-08-10,Booking.com,Positivo,4.0,Atractivos,en,Familia,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-11,TripAdvisor,Positivo,4.3,Limpieza,en,Familia,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-11,Google Reviews,Negativo,2.3,Transporte,es,Pareja,2024,8,2024-08
Sevilla,Andalucía,2024-08-12,Airbnb,Positivo,3.8,Gastronomía,es,Familia,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-12,Airbnb,Positivo,3.5,Alojamiento,fr,Familia,2024,8,2024-08
Extremadura,Extremadura,2024-08-12,Airbnb,Negativo,1.9,Alojamiento,it,Familia,2024,8,2024-08
Sevilla,Andalucía,2024-08-12,Booking.com,Neutro,3.4,Transporte,es,Pareja,2024,8,2024-08
San Sebastián,País Vasco,2024-08-12,TripAdvisor,Positivo,3.5,Alojamiento,es,Amigos,2024,8,2024-08
Teruel,Aragón,2024-08-12,Airbnb,Negativo,2.4,Transporte,es,Solo,2024,8,2024-08
Barcelona,Cataluña,2024-08-12,Booking.com,Positivo,4.2,Transporte,es,Amigos,2024,8,2024-08
Teruel,Aragón,2024-08-12,TripAdvisor,Neutro,3.1,Masificación,en,Pareja,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-13,TripAdvisor,Neutro,3.4,Precio,en,Familia,2024,8,2024-08
Ronda,Andalucía,2024-08-13,Google Reviews,Positivo,4.9,Alojamiento,de,Amigos,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-13,Booking.com,Positivo,4.0,Precio,es,Pareja,2024,8,2024-08
Sevilla,Andalucía,2024-08-14,Airbnb,Neutro,3.1,Transporte,de,Familia,2024,8,2024-08
Barcelona,Cataluña,2024-08-14,Booking.com,Negativo,1.8,Precio,es,Pareja,2024,8,2024-08
Ronda,Andalucía,2024-08-14,Booking.com,Neutro,3.2,Masificación,de,Familia,2024,8,2024-08
Teruel,Aragón,2024-08-14,Airbnb,Neutro,3.2,Alojamiento,es,Negocios,2024,8,2024-08
Sevilla,Andalucía,2024-08-14,Google Reviews,Negativo,1.7,Masificación,fr,Pareja,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-15,TripAdvisor,Negativo,2.0,Atractivos,en,Amigos,2024,8,2024-08
Madrid,Madrid,2024-08-15,Airbnb,Negativo,2.4,Gastronomía,en,Familia,2024,8,2024-08
Granada,Andalucía,2024-08-15,TripAdvisor,Negativo,1.3,Alojamiento,en,Familia,2024,8,2024-08
Teruel,Aragón,2024-08-16,Airbnb,Positivo,4.8,Transporte,en,Solo,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-16,TripAdvisor,Positivo,4.3,Precio,it,Familia,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-16,TripAdvisor,Negativo,2.4,Limpieza,fr,Pareja,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-17,Airbnb,Negativo,1.3,Precio,de,Pareja,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-17,Airbnb,Negativo,1.7,Gastronomía,it,Solo,2024,8,2024-08
Costa Brava,Cataluña,2024-08-17,Booking.com,Positivo,4.1,Gastronomía,de,Amigos,2024,8,2024-08
San Sebastián,País Vasco,2024-08-17,Airbnb,Negativo,2.4,Limpieza,fr,Negocios,2024,8,2024-08
San Sebastián,País Vasco,2024-08-17,TripAdvisor,Negativo,2.0,Precio,de,Amigos,2024,8,2024-08
Barcelona,Cataluña,2024-08-18,Google Reviews,Positivo,4.1,Gastronomía,en,Amigos,2024,8,2024-08
Sevilla,Andalucía,2024-08-19,Booking.com,Neutro,3.1,Atractivos,de,Pareja,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-20,Google Reviews,Negativo,1.1,Alojamiento,en,Pareja,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-20,Booking.com,Positivo,3.9,Precio,es,Familia,2024,8,2024-08
Ronda,Andalucía,2024-08-20,Google Reviews,Positivo,4.6,Limpieza,es,Amigos,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-20,Booking.com,Negativo,1.8,Atractivos,es,Pareja,2024,8,2024-08
Sevilla,Andalucía,2024-08-21,Google Reviews,Positivo,5.0,Masificación,it,Amigos,2024,8,2024-08
Barcelona,Cataluña,2024-08-21,Airbnb,Positivo,4.6,Precio,fr,Pareja,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-21,Airbnb,Positivo,4.9,Masificación,en,Familia,2024,8,2024-08
Costa Brava,Cataluña,2024-08-21,Booking.com,Negativo,1.6,Transporte,it,Pareja,2024,8,2024-08
Extremadura,Extremadura,2024-08-21,TripAdvisor,Positivo,4.1,Precio,de,Pareja,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-22,Booking.com,Negativo,1.7,Gastronomía,it,Pareja,2024,8,2024-08
Mallorca,Islas Baleares,2024-08-22,Booking.com,Neutro,2.9,Masificación,de,Amigos,2024,8,2024-08
Costa del Sol,Andalucía,2024-08-22,Airbnb,Neutro,2.7,Transporte,es,Familia,2024,8,2024-08
Barcelona,Cataluña,2024-08-24,Booking.com,Positivo,4.4,Limpieza,it,Amigos,2024,8,2024-08
Sevilla,Andalucía,2024-08-24,TripAdvisor,Positivo,4.5,Precio,de,Familia,2024,8,2024-08
San Sebastián,País Vasco,2024-08-25,Airbnb,Neutro,3.3,Atractivos,it,Negocios,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-25,Airbnb,Negativo,1.7,Gastronomía,en,Solo,2024,8,2024-08
Extremadura,Extremadura,2024-08-25,Airbnb,Neutro,3.4,Precio,en,Familia,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-26,TripAdvisor,Positivo,4.5,Masificación,en,Pareja,2024,8,2024-08
Ronda,Andalucía,2024-08-26,Airbnb,Positivo,4.8,Transporte,es,Amigos,2024,8,2024-08
Picos de Europa,Asturias/Cantabria,2024-08-27,Google Reviews,Positivo,4.0,Masificación,de,Solo,2024,8,2024-08
Costa Brava,Cataluña,2024-08-29,Airbnb,Negativo,2.2,Precio,es,Amigos,2024,8,2024-08
Madrid,Madrid,2024-08-29,Booking.com,Negativo,1.2,Atractivos,it,Pareja,2024,8,2024-08
San Sebastián,País Vasco,2024-08-29,TripAdvisor,Positivo,3.6,Precio,de,Pareja,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-29,Booking.com,Positivo,3.8,Limpieza,es,Amigos,2024,8,2024-08
San Sebastián,País Vasco,2024-08-29,Google Reviews,Positivo,3.6,Precio,de,Solo,2024,8,2024-08
San Sebastián,País Vasco,2024-08-29,Airbnb,Positivo,4.9,Masificación,en,Amigos,2024,8,2024-08
Sevilla,Andalucía,2024-08-30,Google Reviews,Negativo,1.3,Alojamiento,it,Pareja,2024,8,2024-08
Sevilla,Andalucía,2024-08-30,TripAdvisor,Positivo,3.7,Limpieza,en,Negocios,2024,8,2024-08
Valencia,Comunidad Valenciana,2024-08-31,TripAdvisor,Positivo,4.8,Masificación,it,Pareja,2024,8,2024-08
Sevilla,Andalucía,2024-08-31,Airbnb,Positivo,4.9,Masificación,en,Amigos,2024,8,2024-08
Barcelona,Cataluña,2024-08-31,Booking.com,Neutro,3.3,Precio,it,Solo,2024,8,2024-08
San Sebastián,País Vasco,2024-08-31,Google Reviews,Positivo,4.1,Atractivos,en,Pareja,2024,8,2024-08
Costa Brava,Cataluña,2024-08-31,TripAdvisor,Neutro,3.1,Transporte,fr,Pareja,2024,8,2024-08
Ronda,Andalucía,2024-08-31,TripAdvisor,Positivo,3.9,Masificación,de,Pareja,2024,8,2024-08
Teruel,Aragón,2024-09-01,Booking.com,Neutro,3.3,Masificación,es,Amigos,2024,9,2024-09
Tenerife,Islas Canarias,2024-09-03,Airbnb,Positivo,4.1,Masificación,en,Pareja,2024,9,2024-09
Picos de Europa,Asturias/Cantabria,2024-09-03,Google Reviews,Neutro,3.3,Gastronomía,es,Solo,2024,9,2024-09
San Sebastián,País Vasco,2024-09-03,Google Reviews,Positivo,5.0,Precio,es,Pareja,2024,9,2024-09
Valencia,Comunidad Valenciana,2024-09-03,Google Reviews,Negativo,2.4,Masificación,en,Amigos,2024,9,2024-09
Granada,Andalucía,2024-09-04,Airbnb,Positivo,4.1,Atractivos,es,Familia,2024,9,2024-09
Mallorca,Islas Baleares,2024-09-04,TripAdvisor,Negativo,1.1,Atractivos,es,Pareja,2024,9,2024-09
Extremadura,Extremadura,2024-09-04,Airbnb,Positivo,4.7,Masificación,en,Familia,2024,9,2024-09
Madrid,Madrid,2024-09-04,Airbnb,Negativo,2.3,Gastronomía,fr,Familia,2024,9,2024-09
Madrid,Madrid,2024-09-05,Google Reviews,Negativo,1.1,Atractivos,es,Negocios,2024,9,2024-09
Teruel,Aragón,2024-09-05,Google Reviews,Neutro,3.4,Precio,en,Familia,2024,9,2024-09
Mallorca,Islas Baleares,2024-09-05,Airbnb,Positivo,4.0,Precio,es,Amigos,2024,9,2024-09
Madrid,Madrid,2024-09-05,Google Reviews,Neutro,3.2,Gastronomía,fr,Pareja,2024,9,2024-09
Picos de Europa,Asturias/Cantabria,2024-09-05,Google Reviews,Positivo,4.1,Atractivos,es,Pareja,2024,9,2024-09
Madrid,Madrid,2024-09-06,TripAdvisor,Positivo,3.6,Alojamiento,de,Amigos,2024,9,2024-09
Tenerife,Islas Canarias,2024-09-06,Google Reviews,Neutro,3.3,Limpieza,es,Familia,2024,9,2024-09
Tenerife,Islas Canarias,2024-09-06,Google Reviews,Neutro,2.7,Atractivos,es,Amigos,2024,9,2024-09
Valencia,Comunidad Valenciana,2024-09-07,Booking.com,Positivo,4.8,Limpieza,fr,Negocios,2024,9,2024-09
Tenerife,Islas Canarias,2024-09-07,Airbnb,Neutro,3.4,Precio,it,Amigos,2024,9,2024-09
Teruel,Aragón,2024-09-07,Google Reviews,Positivo,4.4,Transporte,es,Pareja,2024,9,2024-09
Costa del Sol,Andalucía,2024-09-07,Booking.com,Positivo,4.2,Limpieza,de,Familia,2024,9,2024-09
Costa del Sol,Andalucía,2024-09-07,Booking.com,Positivo,4.1,Limpieza,es,Pareja,2024,9,2024-09
Teruel,Aragón,2024-09-08,TripAdvisor,Positivo,3.7,Masificación,fr,Pareja,2024,9,2024-09
Mallorca,Islas Baleares,2024-09-09,TripAdvisor,Negativo,1.8,Precio,es,Pareja,2024,9,2024-09
Valencia,Comunidad Valenciana,2024-09-09,Booking.com,Positivo,4.1,Masificación,es,Amigos,2024,9,2024-09
San Sebastián,País Vasco,2024-09-10,Google Reviews,Negativo,1.2,Masificación,de,Pareja,2024,9,2024-09
Costa del Sol,Andalucía,2024-09-10,Airbnb,Positivo,4.7,Masificación,de,Amigos,2024,9,2024-09
Costa Brava,Cataluña,2024-09-10,Google Reviews,Negativo,2.4,Atractivos,de,Pareja,2024,9,2024-09
Ronda,Andalucía,2024-09-11,Google Reviews,Positivo,4.0,Limpieza,en,Familia,2024,9,2024-09
Picos de Europa,Asturias/Cantabria,2024-09-11,Google Reviews,Positivo,4.9,Limpieza,es,Familia,2024,9,2024-09
Barcelona,Cataluña,2024-09-11,Google Reviews,Negativo,1.0,Alojamiento,it,Solo,2024,9,2024-09
Costa Brava,Cataluña,2024-09-11,Google Reviews,Positivo,3.8,Transporte,en,Pareja,2024,9,2024-09
Barcelona,Cataluña,2024-09-12,Google Reviews,Negativo,1.5,Alojamiento,fr,Pareja,2024,9,2024-09
Picos de Europa,Asturias/Cantabria,2024-09-12,Airbnb,Positivo,4.4,Gastronomía,es,Familia,2024,9,2024-09
Barcelona,Cataluña,2024-09-12,Booking.com,Negativo,2.0,Atractivos,en,Solo,2024,9,2024-09
San Sebastián,País Vasco,2024-09-12,Booking.com,Positivo,3.9,Alojamiento,de,Pareja,2024,9,2024-09
Mallorca,Islas Baleares,2024-09-13,Google Reviews,Neutro,3.0,Gastronomía,es,Solo,2024,9,2024-09
Costa Brava,Cataluña,2024-09-13,TripAdvisor,Negativo,1.8,Alojamiento,de,Amigos,2024,9,2024-09
Barcelona,Cataluña,2024-09-14,Airbnb,Positivo,3.5,Precio,it,Solo,2024,9,2024-09
Picos de Europa,Asturias/Cantabria,2024-09-14,Airbnb,Positivo,4.0,Masificación,es,Familia,2024,9,2024-09
Costa del Sol,Andalucía,2024-09-14,Airbnb,Positivo,4.4,Limpieza,de,Familia,2024,9,2024-09
Barcelona,Cataluña,2024-09-14,TripAdvisor,Negativo,1.3,Masificación,es,Pareja,2024,9,2024-09
Mallorca,Islas Baleares,2024-09-16,Google Reviews,Negativo,2.2,Transporte,en,Amigos,2024,9,2024-09
Granada,Andalucía,2024-09-16,Airbnb,Neutro,2.8,Masificación,fr,Pareja,2024,9,2024-09
Barcelona,Cataluña,2024-09-16,TripAdvisor,Negativo,2.4,Transporte,en,Familia,2024,9,2024-09
